Date,Calib.Date,Time,Tank,Treatment,Temperature.C,pH.mv,pH.Total.Calculated,Conductivity.mS.cm,Sal.ppt,Notes,Initials,,,,,,,,,,,,,,,,,,
20160622,20160621,11:32,6,,27.46,-64.2,,NA,34.1,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:33,8,,26.95,-65.3,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:35,9,,27.81,-63.1,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:39,10,Ambient,26.54,-63.3,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:38,11,Ambient,26.25,-64,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:36,12,High,26.24,-54.7,,NA,33.6,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:40,13,High,26.96,-51.8,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:42,14,Ambient,26.76,-64,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:43,15,Ambient,26.51,-63.8,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:47,16,High,26.73,-41.6,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:46,17,High,26.49,-52.2,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160622,20160621,11:44,18,Ambient,26.46,-66.8,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160623,20160621,15:36,4,,27.94,-65.6,,NA,33.9,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,15:38,5,,27.3,-68.5,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,15:39,6,,28.42,-67.1,,NA,34,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,15:41,8,,27.54,-69.7,,NA,34,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,15:42,9,,28.63,-65.5,,NA,34,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,9:47,10,Ambient,26.13,-62.8,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,9:50,11,Ambient,26.21,-63.2,,NA,33.5,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,9:52,12,High,26.26,-53.4,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,9:57,13,High,26.53,-50.9,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,9:59,14,Ambient,26.49,-62.7,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,10:02,15,Ambient,26.29,-62.4,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,10:08,16,High,26.42,-40.1,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,10:06,17,High,26.17,-48.9,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160623,20160621,10:04,18,Ambient,26.18,-64.3,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160624,20160624,11:27,5,,26.82,-66.8,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:28,6,,27.86,-64.3,,NA,34.1,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:26,4,,27.51,-63.6,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:29,8,,27.08,-67.1,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:30,9,,28.12,-64.2,,NA,34.1,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:33,10,Ambient,26.63,-65.4,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:32,11,Ambient,26.64,-65.9,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:31,12,High,26.66,-56.8,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:34,13,High,26.99,-52,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:36,14,Ambient,26.87,-65.6,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:37,15,Ambient,26.69,-66.1,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:40,16,High,26.87,-41.1,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:38,17,High,26.41,-52.4,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160624,20160624,11:37,18,Ambient,26.6,-69.1,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:58,4,,27.01,-62.3,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:59,5,,26.14,-62.5,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,10:04,6,,27.58,-62,,NA,34.1,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:56,8,,26.53,-62.5,,NA,33.6,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:55,9,,27.95,-63.6,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:49,10,Ambient,26,-61.8,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:51,11,Ambient,26.1,-62.3,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:53,12,High,26.09,-52,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:37,13,High,26.33,-48.9,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:31,14,Ambient,26.28,-62.5,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:29,15,Ambient,26.02,-61.8,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:35,16,High,25.93,-35.3,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:33,17,High,25.86,-49.2,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160627,20160624,9:28,18,Ambient,25.9,-63.2,,NA,33.4,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:14,4,,26.81,-70.4,,NA,22.2,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:15,5,,26.18,-64,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:16,6,,27.36,-64.4,,NA,29.6,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:12,7,,26.45,-63.1,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:08,8,,26.55,-62.8,,NA,33.6,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:07,9,,27.14,-65,,NA,29.4,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:11,10,Ambient,26.21,-62.9,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:10,11,Ambient,26.13,-63.2,,NA,33.5,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:05,12,High,26.24,-51.2,,NA,33.6,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:19,13,High,26.64,-46.9,,NA,33.6,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:22,14,Ambient,26.49,-63.3,,NA,33.5,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:24,15,Ambient,26.4,-62.7,,NA,33.5,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:20,16,High,26.28,-52.7,,NA,33.5,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:21,17,High,26.37,-49.5,,NA,33.6,,GD,,,,,,,,,,,,,,,,,,
20160628,20160628,11:25,18,Ambient,26.23,-64.8,,NA,33.4,,GD,,,,,,,,,,,,,,,,,,
20160629,20160628,8:52,4,,26.34,-60.4,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,8:54,5,,26.7,-60.4,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,8:55,6,,26.74,-60.5,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,8:57,8,,26.68,-57.3,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,8:58,9,,26.8,-61.2,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,9:02,10,Ambient,26.43,-59.3,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,9:01,11,Ambient,26.45,-59.3,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,8:59,12,High,26.53,-48.3,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,9:04,13,High,26.86,-43.5,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,9:05,14,Ambient,26.68,-60,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,9:07,15,Ambient,26.59,-59.7,,NA,33.4,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,9:10,16,High,26.64,-50.9,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,9:09,17,High,26.64,-46.2,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160629,20160628,9:08,18,Ambient,26.68,-61.8,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160630,20160628,13:45,4,,29.79,-69.1,,NA,34,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,13:46,5,,27.91,-72.6,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,13:48,6,,29.89,-70.7,,NA,34.1,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,13:54,8,,28.26,-72.5,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,13:56,9,,29.78,-75.1,,NA,34,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:19,10,Ambient,27.44,-66.1,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:20,11,Ambient,27.28,-65.8,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:22,12,High,27.5,-53,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:28,13,High,27.9,-45,,NA,33.4,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:30,14,Ambient,27.48,-65.4,,NA,33.6,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:32,15,Ambient,27.37,-65,,NA,33.6,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:40,16,High,27.91,-53,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:37,17,High,27.58,-49.5,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160630,20160628,11:35,18,Ambient,27.44,-64.1,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160701,20160701,8:25,2,,26.52,-60.8,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,9:59,4,,28.92,-66.6,,NA,34.6,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,9:59,5,,26.59,-63.2,,NA,33.7,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,9:58,6,,28.31,-63.8,,NA,34.3,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:04,8,,26.77,-60.2,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:07,9,,28.69,-69.1,,NA,34.3,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:01,10,Ambient,26.62,-66,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:03,11,Ambient,26.53,-65.5,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:05,12,High,26.79,-51.2,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:09,13,High,26.99,-44.7,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:11,14,Ambient,26.68,-62.5,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:13,15,Ambient,26.52,-62,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:16,16,High,26.96,-53,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:15,17,High,26.78,-48,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160701,20160701,10:14,18,Ambient,26.61,-62.8,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160705,20160701,15:14,4,,29.5,-70.5,,NA,34,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,15:17,5,,26.67,-66.3,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,15:19,6,,28.05,-71,,NA,34,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,15:23,8,,26.76,-68.8,,NA,33.9,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,15:25,9,,28.51,-70,,NA,34.2,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,11:41,10,Ambient,26.52,-63.1,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,11:39,11,Ambient,26.95,-63.2,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,11:37,12,High,26.7,-52.3,,NA,33.9,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,11:55,13,High,27.07,-46.7,,NA,33.8,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,11:57,14,Ambient,26.56,-64,,NA,33.6,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,11:59,15,Ambient,26.47,-63.4,,NA,33.6,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,12:13,16,High,27,-55.2,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,12:10,17,High,26.69,-51.4,,NA,33.7,,"GD, EV",,,,,,,,,,,,,,,,,,
20160705,20160701,12:02,18,Ambient,26.55,-64.5,,NA,33.6,,"GD, EV",,,,,,,,,,,,,,,,,,
20160706,20160705,11:52,4,,30.45,-69.3,,NA,34.2,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,11:58,5,,27.27,-66.1,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:00,6,,29.26,-70.5,,NA,34.1,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12.02,8,,27.3,-69.3,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:03,9,,28.92,-71.2,,NA,34.1,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:08,10,Ambient,27.35,-65.1,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:06,11,Ambient,27.18,-66.5,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:05,12,High,27.15,-51.8,,NA,33.5,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:10,13,High,27.7,-47.5,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:12,14,Ambient,27.23,-65.6,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:14,15,Ambient,27.4,-64.8,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:17,16,High,27.8,-51,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:17,17,High,27.39,-50.9,,NA,33.6,,EV,,,,,,,,,,,,,,,,,,
20160706,20160705,12:15,18,Ambient,27.26,-67.8,,NA,33.7,,EV,,,,,,,,,,,,,,,,,,
20160707,20160705,10:44,4,,29.69,-67.5,,NA,34.4,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:45,5,,26.66,-63,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:47,6,,28.27,-67.3,,NA,34.2,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:50,8,,26.59,-63.6,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:51,9,,27.05,-66.8,,NA,34.1,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:56,10,Ambient,26.55,-60.8,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:54,11,Ambient,26.54,-62.8,,NA,33.8,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:53,12,High,26.48,-52.3,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:57,13,High,27.02,-53.7,,NA,34.1,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,10:59,14,Ambient,26.59,-61.9,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,11:00,15,Ambient,26.68,-61.2,,NA,34,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,11:04,16,High,27.18,-51.2,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,11:02,17,High,26.7,-47,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160707,20160705,11:01,18,Ambient,26.6,-63.7,,NA,33.9,,GD,,,,,,,,,,,,,,,,,,
20160708,20160708,11:09,4,,28.12,-68.3,,NA,34.2,,EV,,,,,,,,,,,,,,,,,,
20160708,20160708,11:11,5,,26.85,-63.2,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160708,20160708,11:13,6,,27.58,-69.1,,NA,33.8,,EV,,,,,,,,,,,,,,,,,,
20160708,20160708,10:58,8,,26.9,-67.2,,NA,34,,EV,,,,,,,,,,,,,,,,,,
20160708,20160708,11:06,9,,28.27,-70.3,,NA,34.2,,EV,,,,,,,,,,,,,,,,,,
